                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8695,                 6.2448,                  4.576,                0.00055,                0.19802,                0.03987,                0.01446,                 3.7956,                 5.7526,                 4.1374,             0.00035944,             0.00035944,             0.00035944
                      2,                  2.524,                 4.8937,                 3.6467,                0.00057,                0.19802,                0.18603,                0.06836,                 3.8137,                  5.646,                 4.0405,             0.00065753,             0.00065753,             0.00065753
                      3,                 2.2271,                 4.0484,                 3.1119,                0.00065,                0.19802,                0.00707,                0.00254,                 3.8236,                 5.1944,                 4.0011,             0.00088229,             0.00088229,             0.00088229
                      4,                 2.1004,                 3.8583,                 2.8299,                 0.3255,                0.31191,                0.15347,                0.04965,                  2.585,                 4.1283,                  2.969,             0.00078103,             0.00078103,             0.00078103
                      5,                 1.9882,                  3.488,                 2.6266,                0.51041,                0.51023,                0.42292,                0.17689,                 1.8783,                 10.209,                 2.6938,             0.00067104,             0.00067104,             0.00067104
                      6,                 1.8995,                  3.202,                  2.536,                0.47605,                0.45856,                0.45319,                0.21961,                 1.7145,                 4.3333,                 2.3264,             0.00056105,             0.00056105,             0.00056105
                      7,                 1.8482,                 3.1153,                  2.416,                 0.6372,                 0.4247,                0.49457,                0.25342,                 1.7254,                 3.2101,                 2.2939,             0.00045107,             0.00045107,             0.00045107
                      8,                 1.7412,                 2.9007,                 2.3291,                0.23496,                 0.4961,                 0.3639,                0.19946,                 1.6102,                 2.6887,                 2.1425,             0.00034108,             0.00034108,             0.00034108
                      9,                  1.736,                 2.7388,                 2.3103,                0.59855,                0.60599,                0.46658,                0.26016,                 1.5845,                 2.4938,                 2.0783,             0.00023109,             0.00023109,             0.00023109
                     10,                 1.6985,                  2.563,                 2.2388,                0.57129,                0.55477,                0.56405,                0.28806,                 1.5681,                 2.5882,                 2.0458,              0.0001211,              0.0001211,              0.0001211
