                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4036,                 5.2956,                 4.4192,                0.00058,                0.19802,                0.06493,                0.02559,                 3.7977,                 5.7788,                 4.1514,             0.00035944,             0.00035944,             0.00035944
                      2,                 2.8544,                 4.1781,                 3.7021,                0.00045,                    0.2,                0.03889,                0.01677,                  3.819,                 5.9539,                 3.9784,             0.00072255,             0.00072255,             0.00072255
                      3,                 2.7066,                 3.6677,                 3.2153,                0.80913,                0.12277,                0.01401,                0.00522,                 3.9447,                 11.354,                 3.9747,              0.0010783,              0.0010783,              0.0010783
                      4,                 2.6358,                 3.4687,                 3.0223,                0.01508,                0.62472,                0.14835,                0.05086,                 2.2309,                 8.8754,                 3.2755,               0.001078,               0.001078,               0.001078
                      5,                 2.4042,                 3.1115,                 2.8176,                0.30322,                0.24921,                0.16067,                0.06694,                 1.9304,                 4.6396,                 2.6769,               0.001067,               0.001067,               0.001067
                      6,                 2.2626,                 2.8931,                 2.6893,                0.59386,                0.38794,                0.41271,                 0.1817,                  1.844,                 4.5005,                 2.4261,               0.001056,               0.001056,               0.001056
                      7,                 2.2198,                 2.7146,                 2.5514,                0.27221,                0.54679,                0.46699,                0.23463,                 1.7254,                 5.5412,                 2.3014,               0.001045,               0.001045,               0.001045
                      8,                 2.2057,                 2.6809,                 2.5381,                 0.2644,                0.35227,                0.31445,                0.15088,                 1.7993,                 2.8688,                 2.3759,               0.001034,               0.001034,               0.001034
                      9,                 2.1366,                 2.5526,                 2.4615,                0.28487,                0.53944,                0.45019,                0.17597,                 1.9866,                 3.3264,                 2.4186,               0.001023,               0.001023,               0.001023
                     10,                 2.1564,                  2.449,                 2.4318,                0.53451,                0.59286,                0.52017,                0.23085,                 1.7353,                 2.4437,                 2.1829,               0.001012,               0.001012,               0.001012
                     11,                 2.0988,                 2.3357,                 2.3188,                0.44287,                0.45889,                0.50253,                 0.2675,                 1.6206,                 2.1198,                  2.096,               0.001001,               0.001001,               0.001001
                     12,                 2.0703,                 2.2579,                 2.2656,                0.62244,                0.57713,                 0.5943,                0.29372,                 1.6545,                 3.0088,                 2.1254,             0.00099001,             0.00099001,             0.00099001
                     13,                 1.9988,                 2.1132,                 2.1714,                0.75487,                0.50665,                0.60709,                0.32794,                 1.5965,                 1.9368,                 2.0512,             0.00097901,             0.00097901,             0.00097901
                     14,                 1.9256,                 2.1426,                  2.179,                0.46135,                0.81989,                0.66449,                0.32372,                 1.7073,                 2.5485,                 2.0821,             0.00096801,             0.00096801,             0.00096801
                     15,                  1.924,                  2.061,                  2.127,                0.60059,                0.66091,                0.62267,                0.30594,                 1.6847,                 2.1923,                 2.0849,             0.00095702,             0.00095702,             0.00095702
                     16,                 1.9012,                 2.0254,                  2.126,                0.45547,                0.50769,                 0.6336,                0.35988,                 1.6191,                  2.168,                 2.1142,             0.00094602,             0.00094602,             0.00094602
                     17,                 1.8994,                   1.96,                 2.1048,                0.86964,                0.42655,                0.63389,                0.33967,                 1.4859,                 1.7696,                 1.9494,             0.00093502,             0.00093502,             0.00093502
                     18,                 1.8896,                 1.8617,                 2.0553,                 0.8568,                0.40193,                 0.5705,                0.33312,                 1.4975,                 2.2762,                 1.8996,             0.00092402,             0.00092402,             0.00092402
                     19,                 1.8825,                 1.9621,                 2.0924,                0.58496,                0.50891,                0.64228,                0.35898,                 1.5152,                 1.9559,                 1.9731,             0.00091302,             0.00091302,             0.00091302
                     20,                 1.7935,                 1.7948,                 2.0305,                0.64096,                0.79529,                0.76998,                0.46725,                 1.4736,                 1.4873,                 1.9268,             0.00090202,             0.00090202,             0.00090202
                     21,                 1.8403,                 1.7824,                 2.0333,                0.50276,                0.72405,                0.71044,                0.42204,                 1.4358,                 1.6091,                 1.8955,             0.00089102,             0.00089102,             0.00089102
                     22,                 1.7771,                 1.7966,                   1.99,                0.64687,                 0.6209,                0.75105,                0.41815,                 1.5624,                 1.7365,                 2.0002,             0.00088002,             0.00088002,             0.00088002
                     23,                  1.743,                 1.6446,                  1.946,                0.81789,                0.64492,                0.76036,                0.40625,                 1.5102,                 1.5797,                  1.923,             0.00086902,             0.00086902,             0.00086902
                     24,                 1.6618,                 1.6506,                 1.8976,                0.79283,                0.56055,                0.75764,                0.44203,                 1.4332,                 1.6032,                 1.8546,             0.00085803,             0.00085803,             0.00085803
                     25,                 1.6968,                 1.5565,                 1.9116,                0.64512,                0.75965,                0.79045,                0.44419,                 1.4601,                 1.6135,                 1.8577,             0.00084703,             0.00084703,             0.00084703
                     26,                 1.6511,                 1.5098,                  1.846,                0.78125,                0.75301,                 0.7981,                0.48451,                  1.387,                 1.4059,                 1.8047,             0.00083603,             0.00083603,             0.00083603
                     27,                  1.655,                 1.5034,                 1.8473,                0.76731,                0.67968,                0.78104,                0.45904,                 1.4128,                 1.3269,                 1.8598,             0.00082503,             0.00082503,             0.00082503
                     28,                 1.6264,                 1.4872,                  1.821,                0.68009,                0.70073,                0.79255,                0.46339,                 1.4103,                 1.4316,                 1.8593,             0.00081403,             0.00081403,             0.00081403
                     29,                 1.5676,                 1.4315,                 1.7906,                0.73982,                 0.7775,                0.84376,                0.51547,                  1.363,                 1.2145,                 1.8028,             0.00080303,             0.00080303,             0.00080303
                     30,                 1.5993,                 1.3925,                 1.7829,                0.79788,                 0.8181,                0.85111,                0.52684,                  1.339,                 1.1251,                 1.7493,             0.00079203,             0.00079203,             0.00079203
                     31,                 1.5621,                 1.3432,                 1.7496,                0.80822,                0.72069,                0.81375,                0.48931,                 1.3877,                 1.1991,                 1.7954,             0.00078103,             0.00078103,             0.00078103
